m0,of_nondim,bem,ratio,status
0.1,1.3536481121702675,2.7898217503007268,0.48520953427377644,FAIL
0.5214285714285715,0.8472534716573566,1.0417633912109503,0.8132878144935632,FAIL
0.9428571428571428,0.6661296665392481,0.932893194477221,0.714047085435688,FAIL
1.3642857142857143,0.5462343559114959,0.8585414735317956,0.6362352579945184,FAIL
1.7857142857142858,0.4539104657607858,0.7972800846592121,0.5693237226097332,FAIL
2.2071428571428573,0.3822579334260851,0.746727398951189,0.5119109516578378,FAIL
2.628571428571429,0.3286273444866353,0.7064248267220832,0.46519789800071903,FAIL
3.0500000000000003,0.29012687078243327,0.6754444508995722,0.429534760994832,FAIL
3.4714285714285715,0.26363945517607623,0.6527981590018734,0.4038605984722448,FAIL
3.892857142857143,0.24635157097699434,0.6376932196560324,0.3863167482161325,FAIL
4.314285714285714,0.2359702849121433,0.6271948903606376,0.37623119789203036,FAIL
4.735714285714286,0.23071289872902376,0.6212777916307431,0.37135223862331157,FAIL
5.157142857142857,0.2292185735223256,0.6186076102847586,0.37053953057061695,FAIL
5.578571428571428,0.23045420861002625,0.617975709545595,0.37291790769491895,FAIL
6.0,0.23363642955937713,0.6193634031256311,0.37722026903805705,FAIL
