m0,of_nondim,bem,ratio,status
0.1,1.3970710507139141,2.038820320028068,0.6852350042767286,FAIL
0.5214285714285715,1.0738571700218782,0.8719018745047195,1.231626174254848,FAIL
0.9428571428571428,0.9601747124613162,0.7934878244228163,1.2100686146756545,FAIL
1.3642857142857143,0.882628562985009,0.7433884679972463,1.1873046206418667,FAIL
1.7857142857142858,0.8190150635347543,0.7084740864335788,1.1560268458902045,FAIL
2.2071428571428573,0.7660758890635158,0.6856251763227703,1.117339204450205,FAIL
2.628571428571429,0.7237206502310816,0.6725146821287463,1.076141041174373,OK
3.0500000000000003,0.6913031604454681,0.666130444720477,1.0377894689013263,OK
3.4714285714285715,0.6674746246622479,0.6644641433255435,1.0045306904321991,OK
3.892857142857143,0.6506721505657279,0.6663590297748361,0.9764588179822388,OK
4.314285714285714,0.6394349275462865,0.6697058139270107,0.9547997258628796,OK
4.735714285714286,0.6325191111951035,0.6742677403549651,0.9380830096692997,OK
5.157142857142857,0.628909975788874,0.679399333034854,0.9256853005426929,OK
5.578571428571428,0.6277966923882665,0.6846028534346223,0.917023189778772,OK
6.0,0.6285386670114573,0.6899507481116498,0.9109906304641696,OK
