m0,of_nondim,bem,ratio,status
0.1,4.875103859712013,15.633652334237372,0.31183396915099854,FAIL
0.5214285714285715,2.2601754266264846,2.198213787619426,1.0281872670238141,OK
0.9428571428571428,1.6372514218909102,1.6006106772638655,1.0228917282306773,OK
1.3642857142857143,1.4213229853222027,1.3968190154910458,1.0175426949085045,OK
1.7857142857142858,1.3523906047119703,1.335177944699457,1.012891659932555,OK
2.2071428571428573,1.3479109133908047,1.3380920572962147,1.0073379526027755,OK
2.628571428571429,1.3726526529104444,1.3683005153810297,1.003180688365233,OK
3.0500000000000003,1.4091391051061373,1.4270048741508785,0.9874802326408506,OK
3.4714285714285715,1.4484848445985623,1.681210700462705,0.8615724633443674,FAIL
3.892857142857143,1.4864018103517718,1.392871769110735,1.067149068073043,OK
4.314285714285714,1.5210582855051287,1.4409410547230068,1.0556006302405776,OK
4.735714285714286,1.5518835166151939,1.4865910107675562,1.043920961027422,OK
5.157142857142857,1.5789164969130678,1.5277257264114836,1.0335078277576877,OK
5.578571428571428,1.6024634974393799,1.5565183193194585,1.0295179167181339,OK
6.0,1.6229243362870478,1.6933417200526395,0.958415136808061,OK
