m0,of_nondim,bem,ratio,status
0.1,2.7197566649443314,1.1783480373576387,2.308109810275741,FAIL
0.5214285714285715,1.5517409591008653,0.7654720466267572,2.027168680997559,FAIL
0.9428571428571428,1.2387574549248415,0.718666896993074,1.7236879284517537,FAIL
1.3642857142857143,1.111720794457531,0.7478859663814205,1.4864843631663431,FAIL
1.7857142857142858,1.0659973473979911,0.7858906539349517,1.3564194230591065,FAIL
2.2071428571428573,1.0598489396383917,0.8287986451270873,1.2787773554768243,FAIL
2.628571428571429,1.0725425297222482,0.9070964432822104,1.1823908446177924,FAIL
3.0500000000000003,1.0933249243450356,1.6564585744645262,0.6600375893483895,FAIL
3.4714285714285715,1.1166134227763655,0.5303848653024958,2.105289000166934,FAIL
3.892857142857143,1.1395998110059122,0.673176830852059,1.6928684392828677,FAIL
4.314285714285714,1.1609773570742326,0.7161282446876036,1.621186380633102,FAIL
4.735714285714286,1.1802416084489429,0.7353650388058327,1.6049737833138629,FAIL
5.157142857142857,1.1973030461324907,0.7522165053645491,1.5917000459226003,FAIL
5.578571428571428,1.2122739345370137,0.7788980649947865,1.5563961306607277,FAIL
6.0,1.2253530205293761,0.699287708331308,1.7522873717506118,FAIL
