m0,of_nondim,bem,ratio,status
0.1,1.0310274633397225,0.6960819600749478,1.4811868752189912,FAIL
0.5214285714285715,1.3773884610159521,0.8755176536472405,1.5732275132066302,FAIL
0.9428571428571428,1.4247072485521186,0.9044478442091868,1.5752232233997152,FAIL
1.3642857142857143,1.4403819771439974,0.9117141812486096,1.5798613280001497,FAIL
1.7857142857142858,1.4482698731673476,0.9176526098210428,1.5782332635111056,FAIL
2.2071428571428573,1.453028830854927,0.9184242675758878,1.5820888908892707,FAIL
2.628571428571429,1.456214057089557,0.9221150237360304,1.5792108572199348,FAIL
3.0500000000000003,1.4584957814020443,0.9255441272407292,1.5758252237526187,FAIL
3.4714285714285715,1.4602107845296899,0.9253034970467932,1.5780884749599582,FAIL
3.892857142857143,1.4615469237931535,0.925871547139901,1.5785633852860055,FAIL
4.314285714285714,1.4626172814995806,0.925685216930584,1.5800374195770055,FAIL
4.735714285714286,1.4634940095447473,0.9280554415056677,1.5769467470288085,FAIL
5.157142857142857,1.4642253130111493,0.925061141481684,1.5828416602451576,FAIL
5.578571428571428,1.464844623697974,0.924133252476996,1.5851010877183405,FAIL
6.0,1.46537585625174,0.9244227751695387,1.5851793093078983,FAIL
