m0,of_nondim,bem,ratio,status
0.1,3.601972059288526,2.630891749421347,1.3691069045622133,FAIL
0.5214285714285715,1.6224822272142692,1.50834785679075,1.0756684672634853,OK
0.9428571428571428,1.126095114798346,1.2080659186336404,0.9321470769343398,OK
1.3642857142857143,0.9552630049728172,1.0903878287747086,0.8760763645411065,FAIL
1.7857142857142858,0.911589324161861,1.0530321233378543,0.8656804516773389,FAIL
2.2071428571428573,0.9215047360602859,1.0562843959527488,0.8724021102565904,FAIL
2.628571428571429,0.9532084635585101,1.0822997350995598,0.8807250271301464,FAIL
3.0500000000000003,0.9921601572902408,1.1461541270093882,0.8656428781345861,FAIL
3.4714285714285715,1.0316020995307515,1.561493559227771,0.6606508835303332,FAIL
3.892857142857143,1.0685204535440083,0.9697742754248908,1.1018238786297496,FAIL
4.314285714285714,1.1017584665424678,1.0714397866849146,1.0282971383313668,OK
4.735714285714286,1.131074205757516,1.1061121881821236,1.0225673470033967,OK
5.157142857142857,1.1566550759750338,1.132154761353017,1.021640428904558,OK
5.578571428571428,1.1788669740482023,1.1537913284679162,1.021733258832499,OK
6.0,1.198127246534453,1.1964143669652016,1.0014316775329237,OK
