m0,of_nondim,bem,ratio,status
0.1,4.875103859712013,11.543265298387706,0.4223331729534916,FAIL
0.5214285714285715,2.2601754266264846,1.944148772890752,1.162552711059161,FAIL
0.9428571428571428,1.6372514218909102,1.5567252701873373,1.051727914517558,OK
1.3642857142857143,1.4213229853222027,1.4634390572953728,0.9712211644460234,OK
1.7857142857142858,1.3523906047119703,1.4770017510086255,0.9156323638671654,OK
2.2071428571428573,1.3479109133908047,1.532889597096563,0.8793268060164767,FAIL
2.628571428571429,1.3726526529104444,1.6027740867467395,0.8564230381941174,FAIL
3.0500000000000003,1.4091391051061373,1.7025897430216266,0.8276445402550732,FAIL
3.4714285714285715,1.4484848445985623,1.934545200067175,0.7487469636523691,FAIL
3.892857142857143,1.4864018103517718,5.007489516342812,0.29683573085887477,FAIL
4.314285714285714,1.5210582855051287,1.1892800931561658,1.2789739727909468,FAIL
4.735714285714286,1.5518835166151939,1.4152821017685862,1.0965188598625715,OK
5.157142857142857,1.5789164969130678,1.5094618548868202,1.0460128500772583,OK
5.578571428571428,1.6024634974393799,1.5202204025046322,1.0540994547890874,OK
6.0,1.6229243362870478,2.39113378312807,0.6787258612372353,FAIL
