m0,of_nondim,bem,ratio,status
0.1,1.7391255295675356,5.004223722567713,0.3475315305597837,FAIL
0.5214285714285715,0.9557168611780492,0.9223082614280188,1.0362228130736935,OK
0.9428571428571428,0.745977634467048,0.7248642749145081,1.029127328085013,OK
1.3642857142857143,0.68003075303489,0.6638736315343335,1.0243376461017353,OK
1.7857142857142858,0.6728268122476879,0.6580236821646165,1.022496348511919,OK
2.2071428571428573,0.6888353433029598,0.6747415191491745,1.020887738124604,OK
2.628571428571429,0.7110340836916226,0.6971111113527899,1.0199723861979682,OK
3.0500000000000003,0.7321463001835218,0.7205515297501681,1.016091521500723,OK
3.4714285714285715,0.7498878425690152,0.7048257620301526,1.0639336456843853,OK
3.892857142857143,0.7641028394228595,0.7434103268907585,1.0278345777340026,OK
4.314285714285714,0.7753285183147217,0.7520097902854018,1.0310085431473837,OK
4.735714285714286,0.7842078338301778,0.7609378747832347,1.0305806292709137,OK
5.157142857142857,0.7912979887084652,0.7691760977030075,1.0287605024018822,OK
5.578571428571428,0.7970335581019468,0.7732771123249431,1.0307217754131857,OK
6.0,0.8017396990793799,0.7779129601371404,1.030629055129817,OK
